iter	Passed	Remaining
0	49	5369
1	74	4040
2	110	3954
3	143	3806
4	178	3742
5	207	3602
6	241	3549
7	280	3571
8	317	3567
9	364	3644
10	402	3625
11	430	3517
12	459	3425
13	487	3342
14	516	3270
15	544	3201
16	568	3112
17	602	3080
18	650	3113
19	683	3074
20	715	3032
21	746	2984
22	780	2951
23	811	2909
24	844	2870
25	878	2838
26	909	2796
27	940	2755
28	971	2713
29	1000	2668
30	1030	2626
31	1054	2571
32	1079	2517
33	1108	2477
34	1132	2426
35	1159	2383
36	1183	2334
37	1206	2286
38	1229	2237
39	1253	2193
40	1275	2146
41	1296	2099
42	1322	2060
43	1344	2017
44	1365	1973
45	1386	1928
46	1408	1888
47	1428	1845
48	1448	1802
49	1466	1760
50	1486	1719
51	1505	1679
52	1527	1643
53	1549	1606
54	1570	1570
55	1592	1535
56	1614	1501
57	1634	1465
58	1655	1431
59	1678	1398
60	1700	1365
61	1721	1332
62	1744	1301
63	1765	1269
64	1786	1236
65	1807	1204
66	1827	1173
67	1848	1141
68	1869	1110
69	1888	1079
70	1906	1047
71	1926	1016
72	1946	986
73	1966	956
74	1985	926
75	2004	896
76	2024	867
77	2043	838
78	2063	809
79	2085	781
80	2104	753
81	2124	725
82	2143	697
83	2162	669
84	2182	641
85	2200	614
86	2220	586
87	2240	560
88	2260	533
89	2281	506
90	2300	480
91	2320	454
92	2339	427
93	2358	401
94	2377	375
95	2397	349
96	2416	323
97	2435	298
98	2455	272
99	2475	247
100	2494	222
101	2514	197
102	2535	172
103	2553	147
104	2572	122
105	2591	97
106	2611	73
107	2642	48
108	2662	24
109	2682	0
